name,city,age,product,price
ian kelly,leeds,11,Raincoat,16.53
anna smith,london,24,Ice cream - vanilla,2.09
george black,edinburgh,78,Ice cream - chocolate,7.96
georgeblack,edinburgh,44,Sunglasses,6.75
anna smith,EDINBURGH,53,Sunglasses,18.81
hannah davis,nottingham,24,Sunglasses,17.4
ian kelly,cardiff,47,Ice cream-vanilla,22.47
,edinburgh,65,sunglasses,3.54
beth brown,manchester,30,Umbrella,11.42
FIONA GOLD,MANCHESTER,68,Watermelon,£2.2
beth brown,birmingham,10,Ice cream - chocolate,6.64
BETH BROWN,LEEDS,43,Umbrella,13.38
evan pager,birmingham,74,Ice cream - vanilla,2.12
ian kelly,cardiff,32,Umbrella,6.17
anna smith,glasgow,74,umbrella,16.77
ian kelly,edinburgh,23,Watermelon,14.31
ian kelly,glasgow,48,Sunglasses,6.68
anna smith,birmingham,790,Raincoat,£15.35
george black,nottingham,87,Ice cream - chocolate,20.52
fiona gold,manchester,35,WATERMELON,1.65
ANNA SMITH,cardiff,29,ICE CREAM - VANILLA,£20.44
anna smith,NOTTINGHAM,57,Ice cream - chocolate,17.91
hannah davis,edinburgh,30,Watermelon,9.5
charlie white,glasgow,79,Umbrella,5.15
evan pager,birmingham,77,Ice cream - vanilla,23.99
evan pager,leeds,10,Watermelon,9.41
,nottingham,86,Raincoat,£3.68
julia roberts,edinburgh,51,Watermelon,3.77
bethbrown,nottingham,72,Umbrella,21.42
anna smith,edinburgh,12,Watermelon,15.69
declan jacobs,nottingham,24,Raincoat,£20.47
,nottingham,56,Sunglasses,£18.65
hannah davis,NOTTINGHAM,49,,£14.1
charlie white,birmingham,40,Raincoat,24.37
george black,,17,Raincoat,10.4
hannah davis,birmingham,40,Raincoat,14.47
hannah davis,birmingham,82,Watermelon,20.99
george black,manchester,20,Umbrella,16.04
evan pager,manchester,20,Raincoat,21.75
beth brown,edinburgh,72,Ice cream - chocolate,£15.07
charlie white,birmingham,18,Ice cream - chocolate,18.06
anna smith,manchester,78,ICE CREAM - CHOCOLATE,2.58
hannah davis,edinburgh,26,Sunglasses,6.86
anna smith,leeds,26,Ice cream - chocolate,8.3
declan jacobs,edinburgh,70,Ice cream - vanilla,£3.38
anna smith,london,80,Raincoat,6.97
EVAN PAGER,nottingham,31,Watermelon,3.87
julia roberts,edinburgh,43,Watermelon,8.03
,manchester,77,Sunglasses,16.44
anna smith,leeds,87,Umbrella,10.07
fiona gold,nottingham,64,Raincoat,10.2
ian kelly,Abu Dhabi,37,Raincoat,6.42
anna smith,Buenos Aires,79,Umbrella,7.77
anna smith,cardiff,35,SUNGLASSES,23.51
ian kelly,birmingham,49,Raincoat,16.73
evan pager,nottingham,61,Sunglasses,15.81
julia roberts,edinburgh,57,Raincoat,5.52
fiona gold,nottingham,-5,Sunglasses,£18.63
fiona gold,manchester,76,Ice cream - vanilla,5.34
anna smith,leeds,67,Umbrella,10.42
anna smith,nottingham,25,Ice cream - vanilla,24.75
george black,leeds,41,WATERMELON,16.54
fiona gold,CARDIFF,38,Ice cream - vanilla,£14.59
declan jacobs,leeds,18,Watermelon,17.59
charlie white,MANCHESTER,53,Sunglasses,21.31
GEORGE BLACK,leeds,12,Watermelon,19.74
declan jacobs,nottingham,85,Sunglasses,6.88
charlie white,birmingham,80,Raincoat,2.25
beth brown,Buenos Aires,790,Ice cream - chocolate,8.91
george black,abu dhabi,85,Ice cream - vanilla,£7.79
EVAN PAGER,cardiff,38,Sunglasses,6.46
julia roberts,GLASGOW,10,Sunglasses,23.66
julia roberts,nottingham,19,Umbrella,22.09
anna smith,nottingham,-5,Ice cream - chocolate,8.89
george black,NOTTINGHAM,-5,Ice cream - vanilla,16.9
fiona gold,leeds,18,Raincoat,10.8
anna smith,manchester,14,Sunglasses,£22.99
fiona gold,london,52,Ice cream - chocolate,12.28
fiona gold,london,19,Watermelon,7.72
beth brown,nottingham,75,Sunglasses,7.3
declan jacobs,cardiff,40,Umbrella,14.69
anna smith,leeds,45,Ice cream - vanilla,7.67
charlie white,Buenos Aires,366,UMBRELLA,£15.24
charlie white,london,37,Raincoat,22.6
evan pager,london,79,Raincoat,10.89
fiona gold,nottingham,26,Umbrella,£6.65
declanjacobs,edinburgh,83,ICE CREAM - VANILLA,£24.94
JULIA ROBERTS,nottingham,83,Umbrella,13.47
ian kelly,,70,Umbrella,3.64
fiona gold,nottingham,41,Raincoat,2.61
george black,glasgow,70,Ice cream - vanilla,4.08
fiona gold,london,62,Sunglasses,16.24
julia roberts,london,34,Sunglasses,20.11
beth brown,edinburgh,555,RAINCOAT,11.42
ian kelly,birmingham,22,Umbrella,2.99
charlie white,leeds,65,Ice cream - chocolate,10.47
ian kelly,Abu DHABI,55,Sunglasses,24.91
hannah davis,glasgow,64,,13.93
,cardiff,62,Watermelon,24.32
charlie white,london,69,Umbrella,21.73
